(1) Medicine & dentistry,37855,29465,5,67325,37335,28660,5,66000,37420,28120,10,65550,37430,27645,35,65110,38340,27475,65,65875
(2) Subjects allied to medicine,217195,56035,15,273245,218510,56815,20,275345,226010,58895,25,284935,229905,60770,95,290770,227725,60160,180,288065
(3) Biological sciences,126175,81370,15,207560,128775,82570,20,211360,134315,82965,30,217310,142585,83730,85,226395,149890,83900,180,233970
(4) Veterinary science,4515,1420,0,5935,4495,1405,0,5900,5205,1570,0,6775,5520,1625,0,7145,6110,1745,0,7860
(5) Agriculture & related subjects,11010,7350,0,18360,11855,7350,0,19205,11805,7220,0,19025,11815,6835,5,18655,11955,6715,10,18680
(6) Physical sciences,36925,56385,10,93320,37080,56660,15,93760,38305,56590,30,94920,39200,55925,45,95170,40645,55010,65,95720
(7) Mathematical sciences,16030,26195,5,42230,15955,26440,5,42405,16065,27080,10,43155,16265,27580,35,43880,16460,28080,35,44575
(8) Computer science,15645,75920,10,91580,16040,77170,20,93230,16505,79735,20,96260,17390,83710,45,101145,18880,88305,65,107250
(9) Engineering & technology,25580,133405,25,159010,26955,134340,20,161315,27760,135465,30,163255,29025,136085,45,165155,30050,134870,55,164975
(A) Architecture building & planning,17185,31970,5,49160,17365,30885,5,48255,18285,31095,5,49385,19350,31905,10,51265,20475,33130,15,53620
(B) Social studies,131100,79450,30,210585,130585,77380,35,208000,135185,78910,50,214145,139915,81685,115,221710,145030,84155,175,229360
(C) Law,54015,35200,15,89230,53555,34035,15,87605,54720,33925,20,88665,55985,33715,35,89730,58455,33665,50,92165
(D) Business & administrative studies,165175,171405,20,336600,161450,165330,20,326800,162160,164310,30,326500,164955,168415,50,333425,170240,172650,80,342970
(E) Mass communications & documentation,29065,20450,5,49525,28775,19825,10,48610,29330,19970,15,49320,29820,20560,40,50420,30360,20935,65,51360
(F) Languages,81165,36485,10,117665,77375,33945,20,111340,76070,32255,35,108355,75615,31365,60,107040,73375,30005,165,103545
(G) Historical & philosophical studies,47655,41955,10,89620,46070,40235,25,86330,45750,39590,40,85375,46260,39110,85,85455,46055,37910,155,84115
(H) Creative arts & design,106390,62440,30,168855,105840,61030,60,166930,108560,61175,90,169825,113275,62235,190,175700,115455,62685,275,178415
(I) Education,131450,41555,20,173025,124960,39405,30,164390,119220,36905,25,156150,115560,35455,40,151060,112490,32895,60,145445
(J) Combined,35000,21640,0,56635,30280,18870,45,49200,26010,15895,15,41920,24165,14470,5,38640,21665,13440,15,35120
